"Basic","Hidden","Candidates","Xwing","Solved","Board","Start_overs","Elapsed_time"
10,5,2,0,81,"[[0| 6| 7| 0| 8| 4| 9| 3| 0]| [0| 0| 9| 0| 0| 0| 0| 4| 0]| [2| 0| 0| 0| 0| 0| 0| 0| 0]| [4| 0| 0| 0| 1| 0| 0| 0| 9]| [6| 8| 0| 4| 0| 0| 0| 7| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 5]| [1| 0| 0| 0| 3| 0| 0| 0| 0]| [8| 9| 0| 0| 4| 0| 0| 0| 2]| [0| 0| 4| 5| 0| 0| 0| 0| 0]]",4,17.990249156951904
9,7,6,0,81,"[[3| 0| 0| 1| 0| 5| 0| 0| 0]| [0| 0| 0| 9| 0| 0| 0| 0| 0]| [0| 0| 5| 0| 0| 0| 9| 3| 0]| [2| 0| 0| 0| 9| 7| 0| 1| 0]| [7| 3| 0| 8| 0| 0| 0| 4| 5]| [1| 0| 0| 0| 0| 0| 7| 0| 0]| [0| 0| 7| 0| 0| 6| 0| 0| 9]| [0| 0| 0| 7| 4| 0| 0| 6| 0]| [0| 0| 8| 0| 0| 0| 0| 0| 3]]",2,7.812496662139893
11,0,11,0,81,"[[7| 0| 0| 0| 0| 0| 0| 0| 2]| [0| 0| 6| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 8| 0| 0| 0| 7| 1]| [0| 9| 0| 0| 0| 5| 0| 1| 0]| [0| 6| 0| 3| 8| 0| 0| 0| 7]| [0| 0| 4| 6| 2| 0| 0| 5| 8]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 8| 0| 4| 6| 7| 0| 3| 0]| [3| 0| 0| 5| 0| 8| 0| 0| 0]]",3,13.6237154006958
15,1,11,0,81,"[[3| 7| 0| 0| 0| 0| 0| 6| 0]| [0| 0| 1| 3| 0| 7| 0| 8| 0]| [0| 0| 0| 0| 0| 6| 0| 7| 0]| [0| 0| 0| 0| 4| 5| 0| 0| 0]| [5| 0| 0| 0| 8| 0| 2| 0| 0]| [1| 0| 8| 0| 6| 2| 9| 4| 0]| [0| 0| 2| 0| 0| 0| 0| 0| 0]| [4| 0| 0| 0| 0| 0| 8| 0| 0]| [0| 6| 0| 0| 5| 9| 0| 0| 0]]",2,7.7737977504730225
8,9,2,0,81,"[[0| 9| 0| 4| 7| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 7| 0| 4]| [1| 7| 0| 6| 0| 8| 0| 0| 9]| [7| 0| 0| 0| 9| 6| 3| 0| 0]| [4| 0| 0| 7| 0| 0| 0| 2| 0]| [8| 0| 5| 0| 0| 2| 0| 9| 0]| [0| 0| 3| 0| 0| 0| 0| 7| 0]| [0| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 1| 0| 8]]",0,0.6657421588897705
10,16,13,4,81,"[[0| 6| 0| 0| 0| 8| 0| 3| 0]| [0| 8| 0| 0| 6| 0| 0| 0| 1]| [0| 0| 4| 5| 0| 2| 0| 0| 7]| [0| 3| 0| 1| 4| 0| 0| 0| 0]| [6| 4| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 7| 6| 0| 0| 0| 5| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 5| 2| 8| 3| 0| 6| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 9]]",5,18.866592407226562
10,9,1,0,81,"[[0| 0| 0| 6| 0| 0| 1| 0| 0]| [2| 0| 0| 9| 0| 0| 0| 5| 0]| [0| 0| 0| 0| 8| 0| 0| 0| 0]| [0| 0| 0| 0| 3| 1| 4| 6| 0]| [0| 9| 7| 0| 0| 0| 0| 0| 3]| [0| 0| 0| 0| 0| 0| 0| 0| 8]| [0| 0| 9| 0| 4| 0| 0| 0| 2]| [4| 7| 0| 2| 0| 0| 0| 9| 0]| [0| 0| 0| 0| 0| 0| 8| 0| 0]]",2,8.53077244758606
10,5,2,0,81,"[[0| 0| 0| 0| 0| 7| 0| 0| 4]| [0| 0| 0| 2| 1| 9| 0| 5| 0]| [0| 3| 0| 0| 0| 6| 0| 0| 0]| [0| 0| 2| 0| 5| 0| 0| 0| 0]| [0| 1| 0| 0| 0| 0| 5| 3| 0]| [6| 0| 3| 0| 2| 0| 0| 1| 0]| [1| 0| 6| 0| 7| 0| 2| 0| 9]| [7| 0| 0| 0| 0| 2| 0| 0| 0]| [0| 0| 9| 0| 0| 0| 8| 7| 0]]",3,11.955151557922363
31,5,5,0,81,"[[6| 0| 0| 0| 0| 2| 0| 0| 1]| [5| 0| 2| 6| 1| 0| 0| 4| 0]| [3| 0| 0| 0| 0| 0| 0| 5| 2]| [0| 0| 0| 0| 6| 0| 0| 1| 5]| [0| 3| 0| 0| 8| 1| 0| 6| 0]| [7| 0| 0| 0| 0| 0| 0| 9| 0]| [0| 0| 0| 0| 5| 0| 0| 0| 0]| [0| 0| 6| 1| 0| 9| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 3| 2| 0]]",2,7.555407524108887
8,8,2,0,81,"[[4| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 7| 1| 9| 4| 2| 0| 0| 5]| [0| 0| 0| 5| 7| 6| 0| 0| 3]| [0| 1| 0| 0| 2| 9| 0| 0| 7]| [8| 4| 0| 0| 0| 0| 0| 1| 0]| [0| 0| 0| 0| 6| 0| 8| 0| 0]| [0| 0| 0| 2| 0| 0| 0| 0| 8]| [2| 9| 0| 6| 8| 0| 5| 0| 0]| [0| 0| 0| 0| 0| 7| 0| 9| 0]]",1,6.560657978057861
